Threshold Error Accuracy
0.227 1.71222 0.499463
0.228 1.71209 0.49946
0.229 1.71197 0.499457
0.23 1.71197 0.499457
0.231 1.71196 0.499457
0.232 1.71184 0.499453
0.233 1.71184 0.499453
0.234 1.71185 0.49945
0.235 1.71184 0.49945
0.236 1.71184 0.49945
0.237 1.71184 0.49945
0.238 1.71183 0.49945
0.239 1.71185 0.499443
0.24 1.71171 0.499443
0.241 1.71172 0.49944
0.242 1.71161 0.499433
0.243 1.71162 0.499427
0.244 1.71149 0.499423
0.245 1.71137 0.49942
0.246 1.71136 0.49942
0.247 1.71137 0.499413
0.248 1.71126 0.499403
0.249 1.71128 0.499397
0.25 1.71127 0.499397
0.251 1.71114 0.499393
0.252 1.71102 0.499387
0.253 1.71108 0.499367
0.254 1.71096 0.49936
0.255 1.71069 0.499357
0.256 1.71031 0.499347
0.257 1.71031 0.499343
0.258 1.71022 0.499327
0.259 1.70998 0.499313
0.26 1.70973 0.499303
0.261 1.70978 0.499287
0.262 1.70964 0.499283
0.263 1.70969 0.499267
0.264 1.7096 0.49925
0.265 1.70919 0.499247
0.266 1.70913 0.49922
0.267 1.70886 0.499217
0.268 1.70865 0.499193
0.269 1.70841 0.49918
0.27 1.70775 0.49917
0.271 1.70754 0.499147
0.272 1.70744 0.499127
0.273 1.70742 0.49909
0.274 1.7072 0.499067
0.275 1.70697 0.49901
0.276 1.70647 0.49899
0.277 1.70571 0.49897
0.278 1.70575 0.49895
0.279 1.70579 0.49893
0.28 1.7058 0.498917
0.281 1.70545 0.498893
0.282 1.7048 0.498877
0.283 1.704 0.498863
0.284 1.70339 0.498833
0.285 1.70332 0.498803
0.286 1.7029 0.49876
0.287 1.70289 0.49871
0.288 1.70267 0.498687
0.289 1.70264 0.498643
0.29 1.70263 0.498593
0.291 1.7021 0.49854
0.292 1.70171 0.498483
0.293 1.70125 0.498447
0.294 1.7011 0.4984
0.295 1.70061 0.498337
0.296 1.70041 0.498263
0.297 1.7004 0.49821
0.298 1.69973 0.498153
0.299 1.69889 0.49811
0.3 1.69836 0.498053
0.301 1.69821 0.498003
0.302 1.69776 0.497963
0.303 1.69755 0.49789
0.304 1.69676 0.497827
0.305 1.69539 0.497773
0.306 1.69465 0.497733
0.307 1.69379 0.497683
0.308 1.69276 0.497647
0.309 1.69265 0.497543
0.31 1.69243 0.49747
0.311 1.69169 0.49743
0.312 1.69156 0.49737
0.313 1.69061 0.497267
0.314 1.68994 0.497207
0.315 1.68924 0.497113
0.316 1.68876 0.49703
0.317 1.68731 0.496947
0.318 1.68675 0.49685
0.319 1.68619 0.496713
0.32 1.6855 0.496613
0.321 1.6844 0.496503
0.322 1.68364 0.496423
0.323 1.68292 0.496327
0.324 1.68215 0.496207
0.325 1.68118 0.4961
0.326 1.68022 0.49599
0.327 1.67972 0.495823
0.328 1.67909 0.495657
0.329 1.67863 0.495563
0.33 1.67785 0.49544
0.331 1.67695 0.495313
0.332 1.67641 0.495197
0.333 1.67509 0.495107
0.334 1.67308 0.49497
0.335 1.67225 0.494813
0.336 1.67113 0.494697
0.337 1.67077 0.494563
0.338 1.66954 0.49444
0.339 1.66823 0.494253
0.34 1.66742 0.494087
0.341 1.66738 0.49394
0.342 1.66681 0.493787
0.343 1.66601 0.493613
0.344 1.66444 0.49346
0.345 1.66368 0.493273
0.346 1.6631 0.493117
0.347 1.66188 0.49298
0.348 1.66064 0.492767
0.349 1.6595 0.49252
0.35 1.65887 0.49237
0.351 1.6582 0.4922
0.352 1.65721 0.49199
0.353 1.65645 0.491797
0.354 1.6556 0.491627
0.355 1.65404 0.491457
0.356 1.65423 0.491237
0.357 1.65324 0.491023
0.358 1.65185 0.490793
0.359 1.65119 0.490607
0.36 1.64944 0.490403
0.361 1.64869 0.490207
0.362 1.64639 0.48995
0.363 1.64539 0.489737
0.364 1.64468 0.48952
0.365 1.64353 0.48926
0.366 1.64224 0.48904
0.367 1.64242 0.488773
0.368 1.64182 0.488517
0.369 1.64068 0.488243
0.37 1.63943 0.488047
0.371 1.63822 0.4878
0.372 1.63757 0.487513
0.373 1.63693 0.48727
0.374 1.63551 0.487037
0.375 1.63365 0.486753
0.376 1.63282 0.486467
0.377 1.63213 0.48623
0.378 1.63072 0.485943
0.379 1.62905 0.48564
0.38 1.6272 0.485297
0.381 1.62573 0.484977
0.382 1.62525 0.48472
0.383 1.62347 0.484443
0.384 1.62155 0.48412
0.385 1.62061 0.48381
0.386 1.62002 0.48353
0.387 1.61834 0.48322
0.388 1.61634 0.482947
0.389 1.61563 0.48266
0.39 1.61373 0.48236
0.391 1.61253 0.48212
0.392 1.61189 0.48185
0.393 1.61008 0.481517
0.394 1.60896 0.481157
0.395 1.60871 0.480813
0.396 1.60752 0.480517
0.397 1.60628 0.48014
0.398 1.60561 0.47978
