Threshold Error Accuracy 2B2JPredictHH
0.158000 3.378224 0.580278 0.001990
0.159000 3.378224 0.580278 0.001990
0.160000 3.378224 0.580278 0.001990
0.161000 3.378224 0.580278 0.001990
0.162000 3.378224 0.580278 0.001990
0.163000 3.378224 0.580278 0.001990
0.164000 3.378224 0.580278 0.001990
0.165000 3.378224 0.580278 0.001990
0.166000 3.378224 0.580278 0.001990
0.167000 3.378224 0.580278 0.001990
0.168000 3.378224 0.580278 0.001990
0.169000 3.378224 0.580278 0.001990
0.170000 3.378224 0.580278 0.001990
0.171000 3.378224 0.580278 0.001990
0.172000 3.378224 0.580278 0.001990
0.173000 3.378224 0.580278 0.001990
0.174000 3.378224 0.580278 0.001990
0.175000 3.378224 0.580278 0.001990
0.176000 3.378224 0.580278 0.001990
0.177000 3.378224 0.580278 0.001990
0.178000 3.378224 0.580278 0.001990
0.179000 3.378224 0.580278 0.001990
0.180000 3.378224 0.580278 0.001990
0.181000 3.378224 0.580278 0.001990
0.182000 3.378224 0.580278 0.001990
0.183000 3.378224 0.580278 0.001990
0.184000 3.378224 0.580278 0.001990
0.185000 3.378224 0.580278 0.001990
0.186000 3.378224 0.580278 0.001990
0.187000 3.378224 0.580278 0.001990
0.188000 3.378224 0.580278 0.001990
0.189000 3.378224 0.580278 0.001990
0.190000 3.378224 0.580278 0.001990
0.191000 3.378224 0.580278 0.001990
0.192000 3.378224 0.580278 0.001990
0.193000 3.378222 0.580278 0.001990
0.194000 3.378224 0.580278 0.001990
0.195000 3.378224 0.580278 0.001990
0.196000 3.378224 0.580278 0.001990
0.197000 3.378226 0.580278 0.001990
0.198000 3.378226 0.580278 0.001990
0.199000 3.378226 0.580278 0.001990
0.200000 3.378228 0.580277 0.001990
0.201000 3.378228 0.580277 0.001990
0.202000 3.378230 0.580277 0.001990
0.203000 3.378230 0.580277 0.001990
0.204000 3.378230 0.580277 0.001990
0.205000 3.378230 0.580277 0.001990
0.206000 3.378227 0.580277 0.001990
0.207000 3.378227 0.580277 0.001990
0.208000 3.378227 0.580277 0.001990
0.209000 3.378227 0.580277 0.001990
0.210000 3.378231 0.580276 0.001990
0.211000 3.378235 0.580275 0.001990
0.212000 3.378235 0.580275 0.001990
0.213000 3.378233 0.580275 0.001990
0.214000 3.378231 0.580275 0.001990
0.215000 3.377969 0.580274 0.001990
0.216000 3.377966 0.580274 0.001990
0.217000 3.377966 0.580274 0.001990
0.218000 3.377969 0.580273 0.001990
0.219000 3.377963 0.580273 0.001990
0.220000 3.377962 0.580273 0.001990
0.221000 3.377961 0.580273 0.001990
0.222000 3.377966 0.580271 0.001990
0.223000 3.377702 0.580271 0.001989
0.224000 3.377706 0.580270 0.001989
0.225000 3.377708 0.580268 0.001989
0.226000 3.377709 0.580268 0.001989
0.227000 3.377714 0.580266 0.001989
0.228000 3.377453 0.580264 0.001989
0.229000 3.377190 0.580263 0.001989
0.230000 3.377195 0.580262 0.001989
0.231000 3.377201 0.580259 0.001989
0.232000 3.376944 0.580258 0.001988
0.233000 3.376945 0.580257 0.001988
0.234000 3.376948 0.580255 0.001988
0.235000 3.376958 0.580252 0.001988
0.236000 3.376962 0.580250 0.001988
0.237000 3.376963 0.580249 0.001988
0.238000 3.376976 0.580245 0.001988
0.239000 3.376979 0.580244 0.001988
0.240000 3.376716 0.580242 0.001988
0.241000 3.376728 0.580239 0.001988
0.242000 3.376466 0.580237 0.001988
0.243000 3.376475 0.580234 0.001988
0.244000 3.376208 0.580232 0.001987
0.245000 3.375951 0.580229 0.001987
0.246000 3.375958 0.580225 0.001987
0.247000 3.375971 0.580221 0.001987
0.248000 3.375710 0.580215 0.001987
0.249000 3.375715 0.580213 0.001987
0.250000 3.375729 0.580208 0.001987
0.251000 3.375468 0.580203 0.001986
0.252000 3.375211 0.580199 0.001986
0.253000 3.375227 0.580193 0.001986
0.254000 3.374971 0.580189 0.001986
0.255000 3.374459 0.580182 0.001985
0.256000 3.373689 0.580174 0.001984
0.257000 3.373697 0.580169 0.001984
0.258000 3.373459 0.580161 0.001984
0.259000 3.372936 0.580154 0.001983
0.260000 3.372430 0.580145 0.001982
0.261000 3.372463 0.580136 0.001982
0.262000 3.372219 0.580128 0.001982
0.263000 3.372237 0.580120 0.001982
0.264000 3.372007 0.580110 0.001981
0.265000 3.371246 0.580099 0.001980
0.266000 3.371012 0.580088 0.001980
0.267000 3.370504 0.580078 0.001979
0.268000 3.369991 0.580069 0.001979
0.269000 3.369506 0.580054 0.001978
0.270000 3.368208 0.580042 0.001976
0.271000 3.367720 0.580028 0.001976
0.272000 3.367496 0.580012 0.001975
0.273000 3.367262 0.580000 0.001975
0.274000 3.366773 0.579984 0.001974
0.275000 3.366021 0.579969 0.001973
0.276000 3.365011 0.579951 0.001972
0.277000 3.363480 0.579931 0.001970
0.278000 3.363559 0.579910 0.001970
0.279000 3.363609 0.579889 0.001970
0.280000 3.363667 0.579870 0.001970
0.281000 3.362966 0.579843 0.001969
0.282000 3.361703 0.579821 0.001967
0.283000 3.360170 0.579798 0.001965
0.284000 3.358905 0.579774 0.001964
0.285000 3.358688 0.579754 0.001963
0.286000 3.357696 0.579730 0.001962
0.287000 3.357495 0.579705 0.001961
0.288000 3.357040 0.579680 0.001961
0.289000 3.356914 0.579642 0.001960
0.290000 3.356759 0.579608 0.001960
0.291000 3.355499 0.579580 0.001958
0.292000 3.354565 0.579544 0.001957
0.293000 3.353617 0.579510 0.001956
0.294000 3.353208 0.579475 0.001955
0.295000 3.351990 0.579442 0.001953
0.296000 3.351339 0.579403 0.001952
0.297000 3.351160 0.579370 0.001952
0.298000 3.349717 0.579325 0.001950
0.299000 3.347966 0.579289 0.001948
0.300000 3.346759 0.579251 0.001946
0.301000 3.346347 0.579215 0.001945
0.302000 3.345444 0.579170 0.001944
0.303000 3.344811 0.579123 0.001943
0.304000 3.343096 0.579077 0.001940
0.305000 3.340333 0.579026 0.001937
0.306000 3.338903 0.578975 0.001935
0.307000 3.337173 0.578924 0.001932
0.308000 3.335194 0.578872 0.001930
0.309000 3.334603 0.578815 0.001929
0.310000 3.334014 0.578759 0.001928
0.311000 3.332632 0.578699 0.001926
0.312000 3.332280 0.578646 0.001925
0.313000 3.330048 0.578589 0.001922
0.314000 3.328690 0.578524 0.001920
0.315000 3.327068 0.578457 0.001917
0.316000 3.325966 0.578390 0.001916
0.317000 3.322911 0.578327 0.001912
0.318000 3.321591 0.578251 0.001910
0.319000 3.319912 0.578192 0.001907
0.320000 3.318296 0.578120 0.001905
0.321000 3.315830 0.578046 0.001901
0.322000 3.314233 0.577970 0.001899
0.323000 3.312590 0.577897 0.001897
0.324000 3.310660 0.577828 0.001894
0.325000 3.308473 0.577754 0.001891
0.326000 3.306326 0.577669 0.001888
0.327000 3.304738 0.577583 0.001886
